Hour;PUN;PZ;INC
0;51.29616;51.02;120.0
1;46.29531;51.02;120.0
2;38.89146;38.43;120.0
3;32.9224;29.7;120.0
4;46.77096;44.5;120.0
5;51.93429;50.0;120.0
6;47.63873;45.44;120.0
7;49.29599;46.59;120.0
8;51.45872;48.7;120.0
9;51.95025;49.33;120.0
10;54.40683;52.02;120.0
11;50.66301;48.67;120.0
12;45.0;42.61849;120.0
13;36.37639;34.9;120.0
14;33.01;31.54976;120.0
15;39.67641;38.2;120.0
16;42.60931;40.17;120.0
17;45.84456;42.95;120.0
18;52.292;49.76;120.0
19;59.6538;56.99;120.0
20;65.18987;62.33;120.0
21;64.73759;62.33;120.0
22;60.98532;58.34;120.0
23;53.52295;51.02;120.0
