Hour;PUN;PZ;INC
0;42.14182;49.1;120.0
1;33.59524;40.18;120.0
2;29.3;29.3;120.0
3;28.5;28.5;120.0
4;29.51;29.51;120.0
5;48.16;48.16;120.0
6;49.43;49.43;120.0
7;58.15;58.15;120.0
8;59.41;59.41;120.0
9;55.15;55.15;120.0
10;50.0;50.0;120.0
11;46.9;46.9;120.0
12;40.0;40.0;120.0
13;37.42;37.42;120.0
14;39.01;39.01;120.0
15;45.9;45.9;120.0
16;48.59;48.59;120.0
17;48.89;48.89;120.0
18;50.20121;50.0;120.0
19;58.50234;58.14;120.0
20;62.86345;61.98;120.0
21;61.18842;60.21;120.0
22;52.13704;51.44;120.0
23;48.31;48.31;120.0
